rank,id,label,canonicalLine,LabelMismatch,definition,IsBaseForm,BaseFormReason,CommonDefMismatch,CommonDefinition,CommonDefMismatchReason,DefMismatch,DefMismatchReason,japaneseTranslation,TranslationMismatchReason,TranslationMismatch,POS,POSMismatch,POSMismatchReason,POSTranslationMismatch,POSTranslationMismatchReason,Error
8,38802,LIKE,"...people would say like,...",0,similar to someone or something,1,1,0,,,1,"No, the definition 'similar to someone or something' is not correct for the word 'like' in the sentence '...people would say like,...'. In this context, 'like' is used as a filler word or discourse marker, not to indicate similarity.",～みたい,"No. The Japanese word '～みたい' is used to express similarity or resemblance, similar to ""like"" in English when comparing things (e.g., ""It looks like...""). However, in the context of your sentence, 'like' is used as a filler word or discourse marker, which doesn't have a direct equivalent in Japanese.",1,adverb,1,"No. In the sentence '...people would say like,...', the word 'like' is used as a discourse marker or filler, which is a type of interjection. It does not function as an adverb in this context. Discourse markers are used in conversation to manage the flow of discourse, indicate hesitation, or introduce examples or explanations.",1.0,"The Japanese expression ""～みたい"" is not typically used as an adverb. Instead, it functions more like a na-adjective or a noun modifier. It is used to express similarity or resemblance, akin to saying ""like"" or ""similar to"" in English. For example, in the sentence ""彼は猫みたいだ"" (He is like a cat), ""みたい"" is used to describe the resemblance between the person and a cat. 

If you are looking for an adverbial form, you might consider using ""～のように"" which can function adverbially to describe how an action is performed.",
9,3365,GET,"Like it or not, Facebook's trademark ""Like"" button is set to get more expressive.",0,to experience something new,1,1,0,,,0,,なる,,0,verb,0,,1.0,"The Japanese word ""なる"" is indeed a verb. It is an intransitive verb that means ""to become"" or ""to turn into."" If you have other words you want to check, feel free to list them!",
9,918,GET,Time to get some lunch.,0,to obtain or buy something,1,1,0,,,0,,～を得る,"No. The phrase '～を得る' (wo eru) generally means 'to obtain' or 'to gain,' which implies acquiring something in a more formal or deliberate manner. In the context of 'Time to get some lunch,' a more appropriate translation would be '昼ご飯を食べる' (hirugohan o taberu), which means 'to eat lunch,' or '昼ご飯を取る' (hirugohan o toru), which can mean 'to have lunch.' These expressions better capture the casual and routine nature of getting lunch.",1,verb,0,,1.0,"The phrase ""～を得る"" in Japanese is indeed in the grammatical form of a verb. The verb ""得る"" (える or うる) means ""to obtain"" or ""to gain."" The ""～を"" part indicates the object of the verb, using the particle ""を"" to mark what is being obtained. Therefore, ""～を得る"" is a verb phrase.",
9,6304,MOST,,0,"the greatest amount, number, or part",1,1,0,,,0,,どれ、どちら,,0,noun,0,,,,"expected string or bytes-like object, got 'float'"
9,6319,INTO,,0,involved with or interested in,1,1,0,,,0,,どれ、どちら,,0,preposition,0,,,,"expected string or bytes-like object, got 'float'"
9,6334,GOT,,0,became,1,1,0,,,0,,どれ、どちら,,0,verb,0,,,,"expected string or bytes-like object, got 'float'"
9,6337,GET,,0,become,1,1,0,,,0,,どれ、どちら,,0,verb,0,,,,"expected string or bytes-like object, got 'float'"
9,6362,A,,0,used to say that a person or thing is better than someone or something,1,1,0,,,0,,どれ、どちら,,0,article,0,,,,"expected string or bytes-like object, got 'float'"
10,1569,SAY,"I say yes to this,...",0,to express something using words,1,1,0,,,0,,言う、話す,,0,verb,0,,1.0,"Both of the Japanese words you listed, '言う' (iu) and '話す' (hanasu), are indeed in the grammatical form of verbs. '言う' means ""to say"" or ""to tell,"" and '話す' means ""to speak"" or ""to talk."" They are both in their dictionary (or plain) form, which is the base form of Japanese verbs.",
11,38303,OUR,The reason I called you was to check and see if our order has been shipped.,0,belonging to a group that includes the speaker,0,"No, 'OUR' is not a base form. It is a possessive adjective used to indicate that something belongs to or is associated with the speaker and one or more other people.",0,,,0,,私たちの,,0,adjective,0,,1.0,"The Japanese phrase ""私たちの"" (watashitachi no) is not in the grammatical form of an adjective. Instead, it is a possessive pronoun phrase. ""私たち"" (watashitachi) means ""we"" or ""us,"" and ""の"" (no) is a possessive particle that indicates ownership or association, similar to ""'s"" in English. Together, ""私たちの"" means ""our"" or ""ours,"" functioning as a possessive determiner rather than an adjective.",
12,45332,ONE,It's one of my passions and I would love to do a musical movie or whatsoever.,0,a person or thing from a group,1,1,0,,,0,,ひとつ,"No. The word 'ひとつ' (hitotsu) is used to refer to the number one in a counting context, typically for objects or items. In the sentence ""It's one of my passions and I would love to do a musical movie or whatsoever,"" the word ""one"" is used to indicate a part of a group or category. In this context, a more appropriate translation would be 'ひとつの' (hitotsu no) or '一つの' (hitotsu no) to convey the meaning of ""one of"" something.",1,pronoun,1,"No. In the sentence, the word ""one"" is used as a noun. It refers to a specific item within a group, in this case, one of the speaker's passions.",1.0,"The Japanese word ""ひとつ"" (hitotsu) is not a pronoun. It is a noun used to indicate ""one"" or ""one thing"" and is often used as a counter for objects. In Japanese, counters are used to count different types of objects, and ""ひとつ"" is part of the system of native Japanese numbers used for counting general or abstract things.",
12,12913,ONE,"Okay, so there's one rule today.",0,refers to a thing,1,1,0,,,0,,ひとつの,,0,adjective,0,,1.0,"The Japanese word ""ひとつの"" (hitotsu no) is not in the grammatical form of an adjective. Instead, it is a phrase that functions as a noun modifier. ""ひとつ"" (hitotsu) means ""one"" or ""a single"" and is a counter for general objects, while ""の"" (no) is a possessive or descriptive particle that links nouns. Together, ""ひとつの"" is used to describe a singular item or concept, similar to saying ""one [thing]"" or ""a single [thing]"" in English.",
13,26308,ALL,...that all men are created equal.,0,every one or the whole amount of a thing,1,1,0,,,0,,全ての,,0,adjective,0,,1.0,"The Japanese phrase ""全ての"" (subete no) is not an adjective in the traditional sense. Instead, it functions as a noun modifier, similar to a possessive or attributive form in English. It is used to mean ""all"" or ""every"" and is placed before a noun to modify it, such as in ""全ての人"" (subete no hito), meaning ""all people"" or ""everyone."" In this usage, ""全ての"" acts more like a determiner than a standalone adjective.",
13,48848,ALL,"And I want to salute you, all of you, for your bravery and your courage.",0,the whole amount of something,1,1,0,,,0,,すべての,,0,pronoun,1,"No. In the sentence, ""all"" is used as a determiner. It modifies the pronoun ""you"" to indicate the entire group being addressed.",1.0,"The Japanese phrase ""すべての"" (subete no) is not a pronoun. It is a determiner or adjective that means ""all"" or ""every"" and is used to modify nouns. For example, in the phrase ""すべての人"" (subete no hito), it means ""all people"" or ""everyone.""",
14,18708,WANT,Have you decided what you want?,0,to desire or wish for something,1,1,0,,,0,,望む,,0,verb,0,,1.0,"The Japanese word ""望む"" (nozomu) is indeed in the grammatical form of a verb. It is a verb that means ""to wish"" or ""to desire.""",
15,15151,YES,"...that means 67 senators have to vote ""Yes.""",0,a positive answer,1,1,0,,,0,,はい,,0,noun,0,,,,
15,48493,YES,"Yes, we do.",0,used to give a positive answer,1,1,0,,,0,,はい,,0,adverb,0,,,,
16,49495,MORE,Tell me more about your mother.,0,of a greater amount or degree,0,"No, 'MORE' is not a base form. It is a comparative form used to indicate a greater degree of something, often derived from adjectives or adverbs. The base form would be the adjective or adverb itself, such as ""much"" or ""many.""",0,,,0,,もっと、もっと多く,,0,adverb,0,,1.0,"In Japanese, both ""もっと"" and ""もっと多く"" function as adverbs.

1. **もっと (motto)**: This is an adverb meaning ""more"" or ""further."" It is used to modify verbs, adjectives, or other adverbs to indicate a greater degree or extent.

2. **もっと多く (motto ōku)**: This phrase combines ""もっと"" (more) with ""多く"" (many/much), and it functions as an adverbial phrase meaning ""even more"" or ""a lot more."" ""多く"" itself can be an adverb or a noun depending on the context, but in this phrase, it works together with ""もっと"" to modify the degree of something.

Therefore, both are in the grammatical form of adverbs.",
16,62090,MORE,He earned 1900 times more than his typical worker.,0,additional,0,"No, 'more' is not a base form. It is a comparative form used to indicate a greater degree of something, often derived from adjectives or adverbs.",0,,,0,,まだ他に、もっと,"No. In this context, the word ""more"" refers to a quantitative comparison, indicating that he earned 1900 times the amount of his typical worker. The Japanese words 'まだ' (mada) and '他に' (hokani) do not fit this context. 'まだ' means ""still"" or ""yet,"" and '他に' means ""other"" or ""besides."" 'もっと' (motto) can mean ""more"" in some contexts, but it is typically used for qualitative or incremental increases, not for expressing a multiplicative comparison like ""1900 times more."" A more appropriate translation for ""times more"" in this context would be something like '倍' (bai), which means ""times"" or ""fold.""",1,adjective,1,"No. In the sentence, the word ""more"" is used as an adverb. It modifies the verb ""earned"" to indicate the extent to which his earnings exceed those of his typical worker.",,,
17,1512,THINK,I think we might have a problem.,0,to have an idea or opinion about something,1,1,0,,,0,,思う,,0,verb,0,,1.0,"The Japanese word ""思う"" (omou) is indeed a verb. It means ""to think"" or ""to believe."" In this form, it is used as a verb in sentences. If you have any other words you'd like to check or need further clarification, feel free to ask!",
18,1462,USE,Five million people use it every month.,0,to put something to a particular purpose,1,1,0,,,0,,利用する,,0,verb,0,,1.0,"The Japanese word ""利用する"" (riyō suru) is in the grammatical form of a verb. It is a compound verb where ""利用"" (riyō) means ""use"" or ""utilization,"" and ""する"" (suru) is an auxiliary verb meaning ""to do."" Together, ""利用する"" means ""to use"" or ""to utilize.""",
19,2364,SEE,I want to see those.,0,to look,1,1,0,,,0,,見る,,0,verb,0,,1.0,"The Japanese word ""見る"" (miru) is indeed in the grammatical form of a verb. It means ""to see"" or ""to look."" If you have other words you'd like to check, feel free to list them!",
19,70029,SEE,I want to see the other side.,0,to discover,1,1,0,,,0,,見て知る,"No. The phrase '見て知る' translates more closely to 'see and understand' or 'see and know,' which implies gaining knowledge through observation. For the context of 'I want to see the other side,' a more appropriate translation for 'see' would be '見る' (miru), which simply means 'to see' or 'to look at.'",1,verb,0,,,,
20,49783,VERY,They're very interesting.,0,to a great degree or extremely,0,"No, the word 'VERY' is not a base form. It is an adverb used to modify adjectives or other adverbs, indicating a high degree or intensity.",0,,,0,,とても,,0,adverb,0,,1.0,"The Japanese word ""とても"" is indeed an adverb. It is commonly used to mean ""very"" or ""extremely"" and is used to modify adjectives or other adverbs. Therefore, it is in the grammatical form of an adverb.",
21,18610,HIS,He is walking his dog.,0,something that belongs to or is associated with a male,0,"No, 'HIS' is not a base form. It is a possessive pronoun used to indicate that something belongs to or is associated with a male person or animal previously mentioned or easily identified.",0,,,0,,彼の,,0,adjective,0,,1.0,"The Japanese word ""彼の"" (pronounced ""kare no"") is not an adjective. It is a possessive pronoun, equivalent to ""his"" in English. It is used to indicate possession, as in ""彼の本"" (""kare no hon""), which means ""his book."" In this context, ""彼の"" functions similarly to a possessive adjective in English, but in Japanese grammar, it is not categorized as an adjective.",
22,15649,YEAR,"In just over a year,...",0,a period of twelve months,1,1,0,,,0,,年,,0,noun,0,,1.0,"The Japanese word '年' (nen or toshi) is primarily used as a noun. It means ""year"" and is commonly used to refer to a specific year or age. In some contexts, it can also be part of a compound word or phrase, but its fundamental grammatical form remains that of a noun.",
23,12381,MOST,What was the most challenging part?,0,to the greatest degree,0,"No, 'MOST' is not a base form. It is the superlative form of the adjective 'much' or 'many'.",0,,,0,,最も,,0,adjective,0,,1.0,"The Japanese word '最も' (mottomo) is not an adjective. It is an adverb meaning ""most"" or ""extremely,"" used to form the superlative degree of adjectives. For example, in the phrase '最も重要な' (mottomo jūyō na), meaning ""most important,"" '最も' modifies the adjective '重要な' (jūyō na).",
24,1143,GO,It's time to go home.,0,to move or travel to a place,1,1,0,,,0,,行く,,0,verb,0,,1.0,"The Japanese word '行く' (iku) is primarily used as a verb, meaning ""to go."" In this form, it is indeed a verb. However, depending on the context, it can appear in different conjugations or be part of compound words, but its base form is that of a verb. If you have a specific context or sentence in which you're questioning its grammatical form, please provide more details for a more precise answer.",
25,48672,KNOW,I know what you're thinking.,0,to have information in your mind,1,1,0,,,0,,知る、わかっている,,0,verb,0,,1.0,"Both of the Japanese words you listed are indeed in the grammatical form of a verb.

1. 知る (shiru) - This is a verb meaning ""to know"" or ""to be aware of.""
2. わかっている (wakatte iru) - This is a verb phrase. The base verb is わかる (wakaru), meaning ""to understand"" or ""to know."" The form わかっている is the te-form combined with the auxiliary verb いる, indicating a continuous or resultant state, often translated as ""understanding"" or ""knowing.""

Both are verbs, though わかっている is a more complex verb phrase.",
26,16112,REALLY,Cool! That sounds really interesting.,0,used to stress something that is said,0,"No, the word 'REALLY' is not a base form. It is an adverb derived from the adjective 'real'.",0,,,0,,本当に,,0,adverb,0,,1.0,"The Japanese word ""本当に"" (hontou ni) is indeed in the grammatical form of an adverb. It is used to mean ""really"" or ""truly"" and is often used to emphasize the truth or reality of a statement. If you have any other words you'd like to check, feel free to ask!",
27,49932,NO,"No, I didn't.",0,used to give a negative answer,0,no,0,,,0,,いいえ,,0,interjection,0,,1.0,"The Japanese word ""いいえ"" is primarily used as an interjection meaning ""no"" or ""not at all."" It is commonly used to respond negatively to a question or to politely decline something. In this context, it functions as an interjection. There are no other grammatical forms for ""いいえ"" outside of its use as an interjection.",
27,44261,NO,Her representatives had no immediate comment.,0,not any,0,no,0,,,0,,ひとつも〜ない,"No. The phrase 'ひとつも〜ない' translates to 'not even one' or 'none at all' and is used to emphasize the absence of something. In the context of the sentence 'Her representatives had no immediate comment,' a more appropriate translation for 'no' would be 'ない' on its own, as it directly negates the existence of an immediate comment.",1,adjective,0,,1.0,"The phrase ""ひとつも〜ない"" is not in the grammatical form of an adjective. Instead, it is a phrase used to express the idea of ""not even one"" or ""none at all."" In this expression:

- ""ひとつも"" means ""not even one"" or ""not a single.""
- ""〜ない"" is a negative form that follows verbs or adjectives to indicate negation.

The phrase as a whole is used to emphasize the absence of something, but it does not function as an adjective itself.",
28,25962,NOW,Are you studying Spanish now?,0,at the current moment or time,1,1,0,,,0,,今,,0,adverb,0,,1.0,"The Japanese word ""今"" (ima) can function as both a noun and an adverb, depending on the context in which it is used. As an adverb, it typically means ""now"" or ""currently."" However, it can also be used as a noun to refer to ""the present"" or ""this moment."" If you have a specific sentence or context in which ""今"" is used, I can help determine its grammatical form in that instance.",
29,16109,THING,There are some things money can't buy.,1,"an idea, event or action",1,1,0,,,0,,物事,"No. The word ""物事"" (monogoto) in Japanese refers to ""things"" in a more general or abstract sense, often encompassing events or matters. In the context of the sentence ""There are some things money can't buy,"" a more appropriate translation for ""things"" would be ""もの"" (mono), which refers to tangible or intangible items that can be considered individually.",1,noun,0,,1.0,"The Japanese word ""物事"" (ものごと) is a noun. It refers to ""things"" or ""matters"" in a general sense. In Japanese, it is used to talk about various objects or affairs collectively. There are no other grammatical forms for ""物事"" besides being a noun.",
30,26534,ALSO,We also like travelling.,0,in addition,1,1,0,,,0,,また、も,,0,adverb,0,,1.0,"The Japanese words listed are:

1. また (mata)
2. も (mo)

Both of these words can function as adverbs in certain contexts:

1. **また (mata)**: This word can be used as an adverb meaning ""again"" or ""also."" It is often used to indicate repetition or addition.

2. **も (mo)**: This word is a particle that can function similarly to an adverb in that it adds the meaning of ""also"" or ""too"" to a sentence. It is used to indicate inclusion or similarity.

In summary, both ""また"" and ""も"" can function in ways similar to adverbs, although ""も"" is technically a particle.",
31,28420,HERE,I live here.,0,in this place,1,1,0,,,0,,ここに,,0,adverb,0,,1.0,"The Japanese phrase ""ここに"" (kokoni) is not an adverb; it is a combination of a noun and a particle. ""ここ"" (koko) is a noun meaning ""here,"" and ""に"" (ni) is a particle that can indicate direction, location, or time. Together, ""ここに"" means ""at here"" or ""to here,"" and it is used to specify a location or direction rather than functioning as an adverb.",
32,49710,WORK,He likes to take time away from work.,0,a job that you are paid to do,1,1,0,,,0,,仕事,,0,noun,0,,1.0,"The Japanese word ""仕事"" (shigoto) is primarily used as a noun, meaning ""work"" or ""job."" It is not typically used in any other grammatical form.",
32,2429,WORK,They work a little harder...,0,to do a job ,1,1,0,,,0,,働く,,0,verb,0,,1.0,"The Japanese word ""働く"" (hataraku) is in the grammatical form of a verb. It means ""to work"" or ""to labor."" If you have other words you'd like to check, feel free to list them!",
33,48810,NEW,I like the color of my new car.,0,different from before,1,1,0,,,0,,新しい,,0,adjective,0,,1.0,"The Japanese word ""新しい"" (atarashii) is indeed in the grammatical form of an adjective. Specifically, it is an ""i-adjective,"" which is one of the two main types of adjectives in Japanese, the other being ""na-adjectives."" ""新しい"" means ""new"" in English and is used to describe nouns.",
33,49360,NEW,It's fun to meet new people.,0,recently made or introduced,1,1,0,,,0,,新しい,,0,adjective,0,,1.0,"The Japanese word ""新しい"" (atarashii) is indeed in the grammatical form of an adjective. It is an ""i-adjective,"" which is a common type of adjective in Japanese that ends with the syllable ""i."" This word means ""new.""",
34,8124,DAY,"Actually, I'm very busy that day.",0,a period of time,1,1,0,,,0,,日,,0,noun,0,,1.0,"The Japanese character '日' (pronounced ""hi"" or ""nichi"") is primarily used as a noun, meaning ""day"" or ""sun."" However, it can also be part of other grammatical forms when combined with other characters. For example:

1. As a noun: 日 (hi) - ""day"" or ""sun.""
2. As part of a compound noun: 日本 (Nihon) - ""Japan.""
3. As part of an adjective: 日の出 (hinode) - ""sunrise,"" where 日 is part of the noun phrase but modifies 出 (de), meaning ""rise.""

In its standalone form, '日' is typically a noun, but its role can vary when used in combination with other characters.",
35,67190,WORLD,The world has other universal languages.,0,the earth and everything on it,1,1,0,,,0,,世界,,0,noun,0,,1.0,"The Japanese word '世界' (sekai) is a noun, meaning ""world"" or ""universe."" It is not in any other grammatical form.",
36,239566,THEN,Then I go home.,0,next or after that,0,"No, 'THEN' is not a base form. It is an adverb or conjunction used to indicate time or sequence, rather than a base form of a verb or any other grammatical category that would be considered a base form.",0,,,0,,それから、その後,,0,adverb,0,,1.0,"Both of the Japanese words you listed, それから (sorekara) and その後 (sono ato), can function as adverbs in sentences.

- それから (sorekara) is often used as a conjunction or adverb to mean ""and then"" or ""after that,"" indicating a sequence of events.

- その後 (sono ato) is used as an adverbial phrase meaning ""after that"" or ""afterwards,"" also indicating a sequence in time.

In these contexts, both words are used to modify verbs or entire clauses, which is a typical function of adverbs.",
37,49461,GOOD,That's a good point.,0," nice, helpful, or right",1,1,0,,,0,,良い、優秀な,"No. In the context of the sentence ""That's a good point,"" the word ""good"" is better translated as ""良い"" (よい) because it conveys the idea of something being valid, sound, or well-reasoned. ""優秀な"" (ゆうしゅうな) means ""excellent"" or ""superior,"" which is not typically used to describe a point or argument in this context.",1,adjective,0,,1.0,"Both '良い' (yoi) and '優秀な' (yūshūna) are indeed in the grammatical form of adjectives in Japanese.

1. **良い (yoi)**: This is an adjective meaning ""good"" or ""nice."" It is an i-adjective, which is a type of adjective in Japanese that ends with the syllable ""i"" (い).

2. **優秀な (yūshūna)**: This is an adjective meaning ""excellent"" or ""superior."" It is a na-adjective, which is another type of adjective in Japanese that typically ends with ""na"" (な) when used directly before a noun.

Both words are correctly in their adjective forms.",
37,35142,GOOD,Give me a good book any day!,0,pleasant or enjoyable,1,1,0,,,0,,良く,"No. The word '良く' (yoku) is an adverb meaning 'well' or 'often' and is not used as an adjective to describe a noun like 'book.' A more appropriate translation for 'good' in this context would be '良い' (ii or yoi), which is an adjective.",1,adjective,0,,1.0,"The Japanese word ""良く"" (yoku) is not in the grammatical form of an adjective. Instead, it is the adverbial form of the adjective ""良い"" (ii or yoi), which means ""good"" or ""well."" In this form, ""良く"" is used to modify verbs, indicating how an action is performed, similar to the English adverb ""well.""",
38,10200,FIRST,Is this your first time here?,0,before all others in a series,1,1,0,,,0,,最初の,,0,adjective,0,,1.0,"The Japanese phrase ""最初の"" (saisho no) is not an adjective by itself; rather, it functions as a noun followed by the possessive particle ""の"" to modify another noun. ""最初"" means ""first"" or ""beginning,"" and when combined with ""の,"" it is used to describe something as being the first of its kind, similar to how we use adjectives in English. However, grammatically, ""最初"" is a noun, and ""の"" is a particle that links it to another noun.",
39,77922,WELL,"Well, you could get him a toy or some clothes.",0,used to begin or continue a statement,1,1,0,,,0,,まあ、さて,,0,adjective,1,"No. In the sentence, the word ""well"" is not used as an adjective. It is used as an interjection. Interjections are words or phrases that express emotion or exclamation and are often used at the beginning of a sentence to convey a reaction or to gain attention.",,,
40,38966,MANY,The world has so many lessons to teach you.,0,a large number of,1,1,0,,,0,,たくさん、多くの,,0,adjective,0,,1.0,"In Japanese, both ""たくさん"" and ""多くの"" can be used to express the idea of ""many"" or ""a lot,"" but they function differently in terms of grammar.

1. **たくさん (takusan):** This word is typically used as an adverb or a noun. It is not an adjective. For example, you can use it to modify verbs: 
   - たくさん食べる (takusan taberu) - ""eat a lot.""
   - たくさんの人 (takusan no hito) - ""a lot of people"" (here, it functions as a noun with the possessive particle の).

2. **多くの (おおくの, ōku no):** This phrase functions as a noun modifier, similar to an adjective. It is used to describe a large quantity of something and is followed by a noun:
   - 多くの本 (ōku no hon) - ""many books.""

So, ""たくさん"" is not in the grammatical form of an adjective, while ""多くの"" functions similarly to an adjective when used to modify nouns.",
41,73160,TODAY,"That's all for today, thanks for watching.",0,the present day,1,1,0,,,0,,今日,,0,noun,0,,1.0,"The Japanese word ""今日"" (きょう, kyō) primarily functions as a noun, meaning ""today."" In most contexts, it is used as a noun to refer to the current day. However, like many time-related nouns in Japanese, it can also function adverbially without changing form. For example, in a sentence like ""今日行きます"" (きょう いきます, kyō ikimasu), meaning ""I will go today,"" ""今日"" is acting adverbially to specify when the action takes place. Despite this adverbial usage, it is still fundamentally a noun.",
41,73164,TODAY,All of what we've examined today leads us to one conclusion:...,0,on this day,1,1,0,,,0,,今日,,0,adverb,0,,1.0,"The Japanese word ""今日"" (きょう, kyō) can function as both a noun and an adverb, depending on the context. When used to mean ""today,"" it often functions adverbially to describe when an action takes place, similar to how ""today"" is used in English. However, it can also be used as a noun, for example, when referring to ""today"" as a subject or object in a sentence. So, ""今日"" can indeed be in the grammatical form of an adverb.",
42,4845,NEED,I need a suit for my job interviews.,0,to must have or must do something,1,1,0,,,0,,必要とする,,0,verb,0,,1.0,"The Japanese phrase ""必要とする"" (hitsuyou to suru) is in the grammatical form of a verb. It is a compound verb phrase where ""必要"" (hitsuyou) means ""necessity"" or ""need,"" and ""とする"" (to suru) is a verb phrase meaning ""to make"" or ""to do."" Together, ""必要とする"" means ""to need"" or ""to require."" Therefore, it is indeed in the form of a verb.",
43,38959,RIGHT,"Right, I think I understand.",0,an expression of approval,1,1,0,,,0,,"なるほど, そうですね",,0,interjection,0,,1.0,"Both ""なるほど"" (naruhodo) and ""そうですね"" (sō desu ne) can function as interjections in Japanese.

- ""なるほど"" is often used as an interjection to express understanding or agreement, similar to saying ""I see"" or ""Indeed"" in English.

- ""そうですね"" is also commonly used as an interjection to show agreement or to acknowledge what someone has said, akin to ""That's right"" or ""I agree.""

While these words can serve other grammatical roles depending on context, their use as interjections is quite common.",
43,47920,RIGHT,"Yes, that's right.",0,correct,1,1,0,,,0,,正しい,,0,adjective,0,,1.0,"The Japanese word ""正しい"" (tadashii) is indeed in the grammatical form of an adjective. It is an ""i-adjective,"" which is one of the two main types of adjectives in Japanese, the other being ""na-adjectives."" ""正しい"" means ""correct"" or ""right."" If you have other words you'd like to check, feel free to list them!",
43,11058,RIGHT,You have a right to be angry.,0,an action that is good and moral,1,1,0,,,1,"No, the definition 'an action that is good and moral' does not fit the word 'RIGHT' in the sentence 'You have a right to be angry.' In this context, 'right' refers to an entitlement or a justified claim, not an action that is good and moral.",権利,,0,noun,0,,1.0,"The Japanese word ""権利"" (kenri) is indeed a noun. It means ""right"" or ""privilege"" in English. If you have other words you'd like to check, feel free to list them!",
